condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3
further,5f4c9a0ef09a_15,waiting_0028,bloodhound_0028,hatchback_0028,sparrow_0028
closer,5f4c9a0ef09a_16,nightingale_0022,bluejay_0022,pigeon_0022,robin_0022
further,5f4c9a0ef09a_17,brown_0025,goldenretriever_0025,knob_0025,tomtit_0025
further,5f4c9a0ef09a_18,bloodhound_0016,hatchback_0016,sparrow_0016,waiting_0016
closer,5f4c9a0ef09a_19,doberman_0012,bullmastiff_0012,chihuahua_0012,pug_0012
closer,5f4c9a0ef09a_20,pug_0029,bullmastiff_0029,chihuahua_0029,doberman_0029
closer,5f4c9a0ef09a_21,redsport_0024,beetle_0024,bluesedan_0024,white_0024
further,5f4c9a0ef09a_22,goldenretriever_0019,brown_0019,knob_0019,tomtit_0019
further,5f4c9a0ef09a_23,tomtit_0033,brown_0033,goldenretriever_0033,knob_0033
further,5f4c9a0ef09a_24,sling_0008,bluesport_0008,cuckoo_0008,weimaraner_0008
closer,5f4c9a0ef09a_25,white_0007,beetle_0007,bluesedan_0007,redsport_0007
closer,5f4c9a0ef09a_26,squat_0005,inlay_0005,leather_0005,straight_0005
further,5f4c9a0ef09a_27,hatchback_0000,bloodhound_0000,sparrow_0000,waiting_0000
closer,5f4c9a0ef09a_28,pigeon_0018,bluejay_0018,nightingale_0018,robin_0018
further,5f4c9a0ef09a_29,basset_0032,crow_0032,redantique_0032,woven_0032
further,5f4c9a0ef09a_30,bluesport_0021,cuckoo_0021,sling_0021,weimaraner_0021
closer,5f4c9a0ef09a_31,inlay_0037,leather_0037,squat_0037,straight_0037
closer,5f4c9a0ef09a_32,straight_0034,inlay_0034,leather_0034,squat_0034
closer,11524bcc9bf6_1,beetle_0003,bluesedan_0003,bluesport_0003,hatchback_0003
closer,11524bcc9bf6_2,hatchback_0009,beetle_0009,bluesedan_0009,bluesport_0009
further,11524bcc9bf6_3,bluejay_0011,bloodhound_0011,brown_0011,waiting_0011
further,11524bcc9bf6_4,redsport_0023,basset_0023,crow_0023,straight_0023
further,11524bcc9bf6_5,woven_0001,bullmastiff_0001,pigeon_0001,white_0001
closer,11524bcc9bf6_6,bluesport_0034,beetle_0034,bluesedan_0034,hatchback_0034
further,11524bcc9bf6_7,white_0036,bullmastiff_0036,pigeon_0036,woven_0036
further,11524bcc9bf6_8,straight_0005,basset_0005,crow_0005,redsport_0005
closer,11524bcc9bf6_9,goldenretriever_0024,chihuahua_0024,pug_0024,weimaraner_0024
closer,11524bcc9bf6_10,sparrow_0006,cuckoo_0006,nightingale_0006,robin_0006
further,11524bcc9bf6_11,bloodhound_0019,bluejay_0019,brown_0019,waiting_0019
further,11524bcc9bf6_12,waiting_0037,bloodhound_0037,bluejay_0037,brown_0037
closer,11524bcc9bf6_13,nightingale_0032,cuckoo_0032,robin_0032,sparrow_0032
further,11524bcc9bf6_15,tomtit_0038,doberman_0038,redantique_0038,sling_0038
closer,11524bcc9bf6_16,chihuahua_0018,goldenretriever_0018,pug_0018,weimaraner_0018
closer,11524bcc9bf6_17,knob_0025,inlay_0025,leather_0025,squat_0025
closer,11524bcc9bf6_18,pug_0031,chihuahua_0031,goldenretriever_0031,weimaraner_0031
further,11524bcc9bf6_19,crow_0004,basset_0004,redsport_0004,straight_0004
further,11524bcc9bf6_20,basset_0030,crow_0030,redsport_0030,straight_0030
further,11524bcc9bf6_21,pigeon_0010,bullmastiff_0010,white_0010,woven_0010
closer,11524bcc9bf6_22,squat_0035,inlay_0035,knob_0035,leather_0035
further,11524bcc9bf6_23,sling_0026,doberman_0026,redantique_0026,tomtit_0026
further,11524bcc9bf6_24,bullmastiff_0017,pigeon_0017,white_0017,woven_0017
further,11524bcc9bf6_25,doberman_0016,redantique_0016,sling_0016,tomtit_0016
closer,11524bcc9bf6_26,weimaraner_0028,chihuahua_0028,goldenretriever_0028,pug_0028
closer,11524bcc9bf6_27,leather_0002,inlay_0002,knob_0002,squat_0002
closer,11524bcc9bf6_28,cuckoo_0015,nightingale_0015,robin_0015,sparrow_0015
further,11524bcc9bf6_29,brown_0007,bloodhound_0007,bluejay_0007,waiting_0007
further,11524bcc9bf6_30,redantique_0027,doberman_0027,sling_0027,tomtit_0027
closer,11524bcc9bf6_31,inlay_0039,knob_0039,leather_0039,squat_0039
closer,11524bcc9bf6_32,bluesedan_0033,beetle_0033,bluesport_0033,hatchback_0033
closer,db09ec862568_1,hatchback_0020,beetle_0020,bluesport_0020,redantique_0020
further,db09ec862568_2,redsport_0024,bullmastiff_0024,crow_0024,inlay_0024
further,db09ec862568_3,inlay_0010,bullmastiff_0010,crow_0010,redsport_0010
closer,db09ec862568_4,pigeon_0016,bluejay_0016,cuckoo_0016,nightingale_0016
closer,db09ec862568_5,nightingale_0006,bluejay_0006,cuckoo_0006,pigeon_0006
closer,db09ec862568_6,bloodhound_0019,chihuahua_0019,goldenretriever_0019,pug_0019
closer,db09ec862568_7,knob_0002,squat_0002,straight_0002,woven_0002
closer,db09ec862568_8,cuckoo_0034,bluejay_0034,nightingale_0034,pigeon_0034
further,db09ec862568_9,waiting_0036,basset_0036,tomtit_0036,white_0036
further,db09ec862568_10,tomtit_0015,basset_0015,waiting_0015,white_0015
further,db09ec862568_11,weimaraner_0007,brown_0007,robin_0007,sling_0007
closer,db09ec862568_12,redantique_0014,beetle_0014,bluesport_0014,hatchback_0014
further,db09ec862568_13,white_0025,basset_0025,tomtit_0025,waiting_0025
closer,db09ec862568_14,woven_0033,knob_0033,squat_0033,straight_0033
closer,db09ec862568_15,pug_0004,bloodhound_0004,chihuahua_0004,goldenretriever_0004
further,db09ec862568_16,bluesedan_0012,doberman_0012,leather_0012,sparrow_0012
further,db09ec862568_17,basset_0021,tomtit_0021,waiting_0021,white_0021
closer,db09ec862568_18,bluejay_0018,cuckoo_0018,nightingale_0018,pigeon_0018
further,db09ec862568_19,sparrow_0017,bluesedan_0017,doberman_0017,leather_0017
closer,db09ec862568_20,bluesport_0039,beetle_0039,hatchback_0039,redantique_0039
further,db09ec862568_21,leather_0000,bluesedan_0000,doberman_0000,sparrow_0000
further,db09ec862568_22,brown_0013,robin_0013,sling_0013,weimaraner_0013
closer,db09ec862568_23,squat_0003,knob_0003,straight_0003,woven_0003
closer,db09ec862568_24,chihuahua_0027,bloodhound_0027,goldenretriever_0027,pug_0027
closer,db09ec862568_25,beetle_0035,bluesport_0035,hatchback_0035,redantique_0035
further,db09ec862568_26,doberman_0031,bluesedan_0031,leather_0031,sparrow_0031
further,db09ec862568_27,sling_0011,brown_0011,robin_0011,weimaraner_0011
closer,db09ec862568_28,straight_0008,knob_0008,squat_0008,woven_0008
further,db09ec862568_29,crow_0005,bullmastiff_0005,inlay_0005,redsport_0005
closer,db09ec862568_30,goldenretriever_0038,bloodhound_0038,chihuahua_0038,pug_0038
further,db09ec862568_31,robin_0022,brown_0022,sling_0022,weimaraner_0022
further,db09ec862568_32,bullmastiff_0026,crow_0026,inlay_0026,redsport_0026
closer,598e831e3427_1,crow_0017,nightingale_0017,pigeon_0017,sparrow_0017
further,598e831e3427_2,weimaraner_0031,bluejay_0031,inlay_0031,redantique_0031
further,598e831e3427_3,hatchback_0004,chihuahua_0004,straight_0004,tomtit_0004
further,598e831e3427_4,tomtit_0026,chihuahua_0026,hatchback_0026,straight_0026
closer,598e831e3427_5,nightingale_0001,crow_0001,pigeon_0001,sparrow_0001
further,598e831e3427_6,inlay_0020,bluejay_0020,redantique_0020,weimaraner_0020
closer,598e831e3427_7,white_0022,bluesport_0022,brown_0022,redsport_0022
closer,598e831e3427_8,bluesport_0033,brown_0033,redsport_0033,white_0033
closer,598e831e3427_9,sling_0039,leather_0039,waiting_0039,woven_0039
further,598e831e3427_10,straight_0029,chihuahua_0029,hatchback_0029,tomtit_0029
closer,598e831e3427_11,bullmastiff_0008,basset_0008,doberman_0008,pug_0008
closer,598e831e3427_12,doberman_0018,basset_0018,bullmastiff_0018,pug_0018
further,598e831e3427_13,cuckoo_0024,bluesedan_0024,goldenretriever_0024,knob_0024
closer,598e831e3427_14,redsport_0036,bluesport_0036,brown_0036,white_0036
closer,598e831e3427_15,sparrow_0035,crow_0035,nightingale_0035,pigeon_0035
further,598e831e3427_16,bloodhound_0021,beetle_0021,robin_0021,squat_0021
further,598e831e3427_17,robin_0012,beetle_0012,bloodhound_0012,squat_0012
further,598e831e3427_18,chihuahua_0037,hatchback_0037,straight_0037,tomtit_0037
further,598e831e3427_19,goldenretriever_0027,bluesedan_0027,cuckoo_0027,knob_0027
closer,598e831e3427_20,woven_0015,leather_0015,sling_0015,waiting_0015
closer,598e831e3427_21,waiting_0025,leather_0025,sling_0025,woven_0025
further,598e831e3427_22,knob_0011,bluesedan_0011,cuckoo_0011,goldenretriever_0011
further,598e831e3427_23,bluejay_0005,inlay_0005,redantique_0005,weimaraner_0005
closer,598e831e3427_24,pigeon_0000,crow_0000,nightingale_0000,sparrow_0000
further,598e831e3427_25,bluesedan_0030,cuckoo_0030,goldenretriever_0030,knob_0030
further,598e831e3427_26,beetle_0023,bloodhound_0023,robin_0023,squat_0023
closer,598e831e3427_29,pug_0032,basset_0032,bullmastiff_0032,doberman_0032
further,598e831e3427_30,redantique_0014,bluejay_0014,inlay_0014,weimaraner_0014
closer,598e831e3427_31,basset_0028,bullmastiff_0028,doberman_0028,pug_0028
closer,598e831e3427_32,brown_0038,bluesport_0038,redsport_0038,white_0038
closer,a256c5dacb37_1,weimaraner_0007,bloodhound_0007,chihuahua_0007,goldenretriever_0007
further,a256c5dacb37_2,hatchback_0001,bluejay_0001,bullmastiff_0001,inlay_0001
closer,a256c5dacb37_3,squat_0039,knob_0039,leather_0039,straight_0039
closer,a256c5dacb37_4,sparrow_0035,cuckoo_0035,nightingale_0035,pigeon_0035
closer,a256c5dacb37_5,chihuahua_0030,bloodhound_0030,goldenretriever_0030,weimaraner_0030
further,a256c5dacb37_6,crow_0019,bluesport_0019,doberman_0019,sling_0019
further,a256c5dacb37_8,woven_0016,pug_0016,redsport_0016,tomtit_0016
closer,a256c5dacb37_9,knob_0013,leather_0013,squat_0013,straight_0013
closer,a256c5dacb37_10,cuckoo_0015,nightingale_0015,pigeon_0015,sparrow_0015
further,a256c5dacb37_11,doberman_0021,bluesport_0021,crow_0021,sling_0021
closer,a256c5dacb37_12,straight_0009,knob_0009,leather_0009,squat_0009
further,a256c5dacb37_13,pug_0002,redsport_0002,tomtit_0002,woven_0002
further,a256c5dacb37_14,redsport_0024,pug_0024,tomtit_0024,woven_0024
closer,a256c5dacb37_15,brown_0022,beetle_0022,bluesedan_0022,white_0022
further,a256c5dacb37_16,robin_0036,basset_0036,redantique_0036,waiting_0036
closer,a256c5dacb37_17,white_0010,beetle_0010,bluesedan_0010,brown_0010
further,a256c5dacb37_18,bullmastiff_0029,bluejay_0029,hatchback_0029,inlay_0029
further,a256c5dacb37_19,tomtit_0006,pug_0006,redsport_0006,woven_0006
closer,a256c5dacb37_20,bluesedan_0028,beetle_0028,brown_0028,white_0028
further,a256c5dacb37_21,redantique_0004,basset_0004,robin_0004,waiting_0004
further,a256c5dacb37_22,waiting_0032,basset_0032,redantique_0032,robin_0032
further,a256c5dacb37_23,sling_0011,bluesport_0011,crow_0011,doberman_0011
further,a256c5dacb37_24,inlay_0014,bluejay_0014,bullmastiff_0014,hatchback_0014
further,a256c5dacb37_25,basset_0025,redantique_0025,robin_0025,waiting_0025
closer,a256c5dacb37_26,beetle_0034,bluesedan_0034,brown_0034,white_0034
further,a256c5dacb37_27,bluesport_0000,crow_0000,doberman_0000,sling_0000
further,a256c5dacb37_28,bluejay_0017,bullmastiff_0017,hatchback_0017,inlay_0017
closer,a256c5dacb37_29,bloodhound_0018,chihuahua_0018,goldenretriever_0018,weimaraner_0018
closer,a256c5dacb37_30,leather_0005,knob_0005,squat_0005,straight_0005
closer,a256c5dacb37_31,pigeon_0008,cuckoo_0008,nightingale_0008,sparrow_0008
closer,a256c5dacb37_32,nightingale_0012,cuckoo_0012,pigeon_0012,sparrow_0012
further,fe8e1d4e3bc2_1,woven_0006,bluesport_0006,chihuahua_0006,robin_0006
further,fe8e1d4e3bc2_2,bluesport_0019,chihuahua_0019,robin_0019,woven_0019
closer,fe8e1d4e3bc2_3,leather_0037,inlay_0037,knob_0037,straight_0037
closer,fe8e1d4e3bc2_4,doberman_0033,bullmastiff_0033,goldenretriever_0033,pug_0033
closer,fe8e1d4e3bc2_6,redantique_0020,bluesedan_0020,brown_0020,white_0020
further,fe8e1d4e3bc2_8,hatchback_0008,basset_0008,crow_0008,squat_0008
closer,fe8e1d4e3bc2_10,inlay_0007,knob_0007,leather_0007,straight_0007
further,fe8e1d4e3bc2_11,sling_0030,bloodhound_0030,cuckoo_0030,redsport_0030
closer,fe8e1d4e3bc2_12,bluejay_0002,nightingale_0002,pigeon_0002,tomtit_0002
further,fe8e1d4e3bc2_13,robin_0026,bluesport_0026,chihuahua_0026,woven_0026
further,fe8e1d4e3bc2_14,redsport_0016,bloodhound_0016,cuckoo_0016,sling_0016
closer,fe8e1d4e3bc2_15,pug_0028,bullmastiff_0028,doberman_0028,goldenretriever_0028
further,fe8e1d4e3bc2_16,sparrow_0013,beetle_0013,waiting_0013,weimaraner_0013
further,fe8e1d4e3bc2_17,chihuahua_0018,bluesport_0018,robin_0018,woven_0018
further,fe8e1d4e3bc2_18,beetle_0032,sparrow_0032,waiting_0032,weimaraner_0032
further,fe8e1d4e3bc2_19,basset_0036,crow_0036,hatchback_0036,squat_0036
further,fe8e1d4e3bc2_20,crow_0017,basset_0017,hatchback_0017,squat_0017
closer,fe8e1d4e3bc2_22,pigeon_0022,bluejay_0022,nightingale_0022,tomtit_0022
closer,fe8e1d4e3bc2_23,bullmastiff_0031,doberman_0031,goldenretriever_0031,pug_0031
closer,fe8e1d4e3bc2_24,straight_0029,inlay_0029,knob_0029,leather_0029
further,fe8e1d4e3bc2_25,waiting_0039,beetle_0039,sparrow_0039,weimaraner_0039
closer,fe8e1d4e3bc2_26,knob_0003,inlay_0003,leather_0003,straight_0003
further,fe8e1d4e3bc2_27,squat_0038,basset_0038,crow_0038,hatchback_0038
further,fe8e1d4e3bc2_28,cuckoo_0024,bloodhound_0024,redsport_0024,sling_0024
further,fe8e1d4e3bc2_29,bloodhound_0027,cuckoo_0027,redsport_0027,sling_0027
closer,fe8e1d4e3bc2_30,brown_0005,bluesedan_0005,redantique_0005,white_0005
closer,fe8e1d4e3bc2_31,tomtit_0035,bluejay_0035,nightingale_0035,pigeon_0035
further,fe8e1d4e3bc2_32,weimaraner_0000,beetle_0000,sparrow_0000,waiting_0000
further,51c2a0fb82fc_1,bluesedan_0036,basset_0036,cuckoo_0036,squat_0036
closer,51c2a0fb82fc_2,inlay_0005,leather_0005,waiting_0005,woven_0005
further,51c2a0fb82fc_3,pigeon_0038,bloodhound_0038,redsport_0038,straight_0038
closer,51c2a0fb82fc_4,pug_0012,bullmastiff_0012,doberman_0012,weimaraner_0012
further,51c2a0fb82fc_5,tomtit_0032,goldenretriever_0032,sling_0032,white_0032
further,51c2a0fb82fc_6,beetle_0026,chihuahua_0026,knob_0026,robin_0026
closer,51c2a0fb82fc_7,waiting_0037,inlay_0037,leather_0037,woven_0037
closer,51c2a0fb82fc_8,sparrow_0022,bluejay_0022,crow_0022,nightingale_0022
closer,51c2a0fb82fc_9,woven_0033,inlay_0033,leather_0033,waiting_0033
further,51c2a0fb82fc_10,squat_0000,basset_0000,bluesedan_0000,cuckoo_0000
further,51c2a0fb82fc_11,cuckoo_0003,basset_0003,bluesedan_0003,squat_0003
further,51c2a0fb82fc_12,robin_0017,beetle_0017,chihuahua_0017,knob_0017
closer,51c2a0fb82fc_13,bluejay_0002,crow_0002,nightingale_0002,sparrow_0002
further,51c2a0fb82fc_14,white_0020,goldenretriever_0020,sling_0020,tomtit_0020
further,51c2a0fb82fc_15,sling_0025,goldenretriever_0025,tomtit_0025,white_0025
closer,51c2a0fb82fc_16,brown_0027,bluesport_0027,hatchback_0027,redantique_0027
further,51c2a0fb82fc_18,knob_0015,beetle_0015,chihuahua_0015,robin_0015
closer,51c2a0fb82fc_19,leather_0034,inlay_0034,waiting_0034,woven_0034
closer,51c2a0fb82fc_20,doberman_0010,bullmastiff_0010,pug_0010,weimaraner_0010
further,51c2a0fb82fc_22,bloodhound_0028,pigeon_0028,redsport_0028,straight_0028
closer,51c2a0fb82fc_23,bluesport_0014,brown_0014,hatchback_0014,redantique_0014
closer,51c2a0fb82fc_25,nightingale_0039,bluejay_0039,crow_0039,sparrow_0039
closer,51c2a0fb82fc_26,hatchback_0031,bluesport_0031,brown_0031,redantique_0031
further,51c2a0fb82fc_27,goldenretriever_0013,sling_0013,tomtit_0013,white_0013
closer,51c2a0fb82fc_28,redantique_0001,bluesport_0001,brown_0001,hatchback_0001
further,51c2a0fb82fc_29,basset_0030,bluesedan_0030,cuckoo_0030,squat_0030
further,51c2a0fb82fc_30,redsport_0007,bloodhound_0007,pigeon_0007,straight_0007
further,51c2a0fb82fc_31,straight_0021,bloodhound_0021,pigeon_0021,redsport_0021
further,51c2a0fb82fc_32,chihuahua_0035,beetle_0035,knob_0035,robin_0035
closer,40e72b57cd95_1,doberman_0039,basset_0039,bloodhound_0039,chihuahua_0039
further,40e72b57cd95_2,inlay_0005,crow_0005,pug_0005,redsport_0005
further,40e72b57cd95_3,tomtit_0029,bluesedan_0029,bullmastiff_0029,waiting_0029
closer,40e72b57cd95_4,brown_0028,bluesport_0028,redantique_0028,white_0028
closer,40e72b57cd95_5,sparrow_0026,bluejay_0026,nightingale_0026,pigeon_0026
further,40e72b57cd95_6,goldenretriever_0036,beetle_0036,cuckoo_0036,knob_0036
further,40e72b57cd95_7,cuckoo_0031,beetle_0031,goldenretriever_0031,knob_0031
further,40e72b57cd95_9,waiting_0034,bluesedan_0034,bullmastiff_0034,tomtit_0034
further,40e72b57cd95_10,sling_0024,hatchback_0024,robin_0024,weimaraner_0024
closer,40e72b57cd95_11,redantique_0001,bluesport_0001,brown_0001,white_0001
closer,40e72b57cd95_12,leather_0008,squat_0008,straight_0008,woven_0008
further,40e72b57cd95_13,redsport_0027,crow_0027,inlay_0027,pug_0027
closer,40e72b57cd95_14,nightingale_0020,bluejay_0020,pigeon_0020,sparrow_0020
closer,40e72b57cd95_15,chihuahua_0017,basset_0017,bloodhound_0017,doberman_0017
closer,40e72b57cd95_16,white_0038,bluesport_0038,brown_0038,redantique_0038
further,40e72b57cd95_17,bluesedan_0037,bullmastiff_0037,tomtit_0037,waiting_0037
closer,40e72b57cd95_18,bloodhound_0006,basset_0006,chihuahua_0006,doberman_0006
closer,40e72b57cd95_19,bluejay_0015,nightingale_0015,pigeon_0015,sparrow_0015
further,40e72b57cd95_20,knob_0014,beetle_0014,cuckoo_0014,goldenretriever_0014
further,40e72b57cd95_21,robin_0023,hatchback_0023,sling_0023,weimaraner_0023
further,40e72b57cd95_22,hatchback_0022,robin_0022,sling_0022,weimaraner_0022
closer,40e72b57cd95_24,pigeon_0009,bluejay_0009,nightingale_0009,sparrow_0009
further,40e72b57cd95_25,weimaraner_0033,hatchback_0033,robin_0033,sling_0033
closer,40e72b57cd95_26,squat_0030,leather_0030,straight_0030,woven_0030
further,40e72b57cd95_27,beetle_0021,cuckoo_0021,goldenretriever_0021,knob_0021
closer,40e72b57cd95_28,bluesport_0002,brown_0002,redantique_0002,white_0002
further,40e72b57cd95_29,pug_0004,crow_0004,inlay_0004,redsport_0004
further,40e72b57cd95_30,bullmastiff_0025,bluesedan_0025,tomtit_0025,waiting_0025
closer,40e72b57cd95_31,woven_0010,leather_0010,squat_0010,straight_0010
further,40e72b57cd95_32,crow_0003,inlay_0003,pug_0003,redsport_0003
further,6033f019cfad_1,tomtit_0022,bluesport_0022,bullmastiff_0022,inlay_0022
further,6033f019cfad_2,sparrow_0015,bloodhound_0015,brown_0015,leather_0015
further,6033f019cfad_3,inlay_0028,bluesport_0028,bullmastiff_0028,tomtit_0028
further,6033f019cfad_4,brown_0023,bloodhound_0023,leather_0023,sparrow_0023
further,6033f019cfad_5,bluejay_0033,sling_0033,weimaraner_0033,white_0033
further,6033f019cfad_6,bluesport_0036,bullmastiff_0036,inlay_0036,tomtit_0036
closer,6033f019cfad_7,robin_0009,crow_0009,nightingale_0009,pigeon_0009
further,6033f019cfad_8,cuckoo_0004,doberman_0004,hatchback_0004,squat_0004
closer,6033f019cfad_9,pigeon_0019,crow_0019,nightingale_0019,robin_0019
closer,6033f019cfad_10,woven_0029,knob_0029,straight_0029,waiting_0029
closer,6033f019cfad_11,knob_0013,straight_0013,waiting_0013,woven_0013
further,6033f019cfad_12,bloodhound_0026,brown_0026,leather_0026,sparrow_0026
closer,6033f019cfad_14,beetle_0034,bluesedan_0034,redantique_0034,redsport_0034
further,6033f019cfad_15,white_0005,bluejay_0005,sling_0005,weimaraner_0005
closer,6033f019cfad_16,redsport_0012,beetle_0012,bluesedan_0012,redantique_0012
closer,6033f019cfad_17,redantique_0011,beetle_0011,bluesedan_0011,redsport_0011
further,6033f019cfad_19,sling_0003,bluejay_0003,weimaraner_0003,white_0003
closer,6033f019cfad_20,basset_0027,chihuahua_0027,goldenretriever_0027,pug_0027
further,6033f019cfad_21,hatchback_0000,cuckoo_0000,doberman_0000,squat_0000
closer,6033f019cfad_23,waiting_0035,knob_0035,straight_0035,woven_0035
closer,6033f019cfad_24,pug_0038,basset_0038,chihuahua_0038,goldenretriever_0038
further,6033f019cfad_25,bullmastiff_0010,bluesport_0010,inlay_0010,tomtit_0010
further,6033f019cfad_26,weimaraner_0021,bluejay_0021,sling_0021,white_0021
closer,6033f019cfad_27,chihuahua_0007,basset_0007,goldenretriever_0007,pug_0007
closer,6033f019cfad_28,straight_0014,knob_0014,waiting_0014,woven_0014
further,6033f019cfad_30,squat_0018,cuckoo_0018,doberman_0018,hatchback_0018
further,6033f019cfad_31,doberman_0006,cuckoo_0006,hatchback_0006,squat_0006
further,6033f019cfad_32,leather_0039,bloodhound_0039,brown_0039,sparrow_0039
further,66ae9b0f2a5f_1,pigeon_0002,beetle_0002,goldenretriever_0002,squat_0002
further,66ae9b0f2a5f_2,redantique_0039,chihuahua_0039,nightingale_0039,woven_0039
further,66ae9b0f2a5f_3,squat_0035,beetle_0035,goldenretriever_0035,pigeon_0035
further,66ae9b0f2a5f_4,woven_0028,chihuahua_0028,nightingale_0028,redantique_0028
closer,66ae9b0f2a5f_5,crow_0019,bluejay_0019,cuckoo_0019,robin_0019
further,66ae9b0f2a5f_6,brown_0009,bullmastiff_0009,leather_0009,tomtit_0009
further,66ae9b0f2a5f_7,sparrow_0014,basset_0014,hatchback_0014,inlay_0014
closer,66ae9b0f2a5f_8,waiting_0036,knob_0036,sling_0036,straight_0036
closer,66ae9b0f2a5f_10,doberman_0032,bloodhound_0032,pug_0032,weimaraner_0032
closer,66ae9b0f2a5f_12,bluejay_0001,crow_0001,cuckoo_0001,robin_0001
further,66ae9b0f2a5f_13,inlay_0030,basset_0030,hatchback_0030,sparrow_0030
closer,66ae9b0f2a5f_14,white_0007,bluesedan_0007,bluesport_0007,redsport_0007
closer,66ae9b0f2a5f_15,weimaraner_0034,bloodhound_0034,doberman_0034,pug_0034
further,66ae9b0f2a5f_16,basset_0033,hatchback_0033,inlay_0033,sparrow_0033
further,66ae9b0f2a5f_17,leather_0000,brown_0000,bullmastiff_0000,tomtit_0000
further,66ae9b0f2a5f_18,goldenretriever_0008,beetle_0008,pigeon_0008,squat_0008
closer,66ae9b0f2a5f_19,straight_0006,knob_0006,sling_0006,waiting_0006
closer,66ae9b0f2a5f_20,bluesport_0005,bluesedan_0005,redsport_0005,white_0005
closer,66ae9b0f2a5f_21,cuckoo_0021,bluejay_0021,crow_0021,robin_0021
further,66ae9b0f2a5f_22,bullmastiff_0022,brown_0022,leather_0022,tomtit_0022
further,66ae9b0f2a5f_24,nightingale_0029,chihuahua_0029,redantique_0029,woven_0029
further,66ae9b0f2a5f_25,beetle_0031,goldenretriever_0031,pigeon_0031,squat_0031
closer,66ae9b0f2a5f_26,bloodhound_0003,doberman_0003,pug_0003,weimaraner_0003
closer,66ae9b0f2a5f_27,knob_0020,sling_0020,straight_0020,waiting_0020
closer,66ae9b0f2a5f_28,robin_0015,bluejay_0015,crow_0015,cuckoo_0015
further,66ae9b0f2a5f_29,tomtit_0026,brown_0026,bullmastiff_0026,leather_0026
closer,66ae9b0f2a5f_30,pug_0023,bloodhound_0023,doberman_0023,weimaraner_0023
further,66ae9b0f2a5f_31,hatchback_0018,basset_0018,inlay_0018,sparrow_0018
further,66ae9b0f2a5f_32,chihuahua_0013,nightingale_0013,redantique_0013,woven_0013
closer,ebec98351506_1,bluejay_0012,crow_0012,robin_0012,tomtit_0012
closer,ebec98351506_2,woven_0032,sling_0032,squat_0032,straight_0032
further,ebec98351506_3,waiting_0034,brown_0034,pigeon_0034,pug_0034
closer,ebec98351506_4,weimaraner_0008,bloodhound_0008,bullmastiff_0008,doberman_0008
further,ebec98351506_5,chihuahua_0006,beetle_0006,cuckoo_0006,leather_0006
further,ebec98351506_6,pug_0026,brown_0026,pigeon_0026,waiting_0026
further,ebec98351506_7,nightingale_0003,goldenretriever_0003,hatchback_0003,inlay_0003
further,ebec98351506_9,goldenretriever_0033,hatchback_0033,inlay_0033,nightingale_0033
closer,ebec98351506_10,crow_0000,bluejay_0000,robin_0000,tomtit_0000
closer,ebec98351506_11,white_0030,bluesport_0030,redantique_0030,redsport_0030
closer,ebec98351506_12,tomtit_0018,bluejay_0018,crow_0018,robin_0018
closer,ebec98351506_13,straight_0017,sling_0017,squat_0017,woven_0017
further,ebec98351506_14,inlay_0015,goldenretriever_0015,hatchback_0015,nightingale_0015
further,ebec98351506_15,cuckoo_0039,beetle_0039,chihuahua_0039,leather_0039
further,ebec98351506_16,knob_0025,basset_0025,bluesedan_0025,sparrow_0025
closer,ebec98351506_17,sling_0020,squat_0020,straight_0020,woven_0020
further,ebec98351506_18,beetle_0016,chihuahua_0016,cuckoo_0016,leather_0016
closer,ebec98351506_19,squat_0037,sling_0037,straight_0037,woven_0037
closer,ebec98351506_20,bullmastiff_0038,bloodhound_0038,doberman_0038,weimaraner_0038
closer,ebec98351506_21,redantique_0007,bluesport_0007,redsport_0007,white_0007
further,ebec98351506_22,basset_0014,bluesedan_0014,knob_0014,sparrow_0014
further,ebec98351506_23,hatchback_0036,goldenretriever_0036,inlay_0036,nightingale_0036
closer,ebec98351506_24,bluesport_0009,redantique_0009,redsport_0009,white_0009
further,ebec98351506_25,brown_0035,pigeon_0035,pug_0035,waiting_0035
further,ebec98351506_26,leather_0028,beetle_0028,chihuahua_0028,cuckoo_0028
further,ebec98351506_27,sparrow_0031,basset_0031,bluesedan_0031,knob_0031
further,ebec98351506_28,bluesedan_0022,basset_0022,knob_0022,sparrow_0022
closer,ebec98351506_29,doberman_0001,bloodhound_0001,bullmastiff_0001,weimaraner_0001
closer,ebec98351506_30,bloodhound_0005,bullmastiff_0005,doberman_0005,weimaraner_0005
further,ebec98351506_31,pigeon_0019,brown_0019,pug_0019,waiting_0019
closer,ebec98351506_32,robin_0029,bluejay_0029,crow_0029,tomtit_0029
closer,9da282521a06_1,bloodhound_0005,basset_0005,doberman_0005,pug_0005
further,9da282521a06_2,white_0002,bullmastiff_0002,inlay_0002,tomtit_0002
further,9da282521a06_3,weimaraner_0003,cuckoo_0003,redantique_0003,waiting_0003
closer,9da282521a06_4,straight_0013,knob_0013,squat_0013,woven_0013
closer,9da282521a06_5,brown_0004,bluesedan_0004,bluesport_0004,redsport_0004
closer,9da282521a06_6,nightingale_0000,bluejay_0000,robin_0000,sparrow_0000
closer,9da282521a06_7,redsport_0024,bluesedan_0024,bluesport_0024,brown_0024
