condition,object1Name,object2Name,object3Name,object4Name
further,sling,beetle,goldenretriever,tomtit
further,doberman,bluesedan,leather,pigeon
closer,squat,knob,waiting,woven
further,tomtit,beetle,goldenretriever,sling
closer,woven,knob,squat,waiting
further,crow,bloodhound,straight,white
closer,waiting,knob,squat,woven
closer,bluejay,cuckoo,nightingale,sparrow
further,beetle,goldenretriever,sling,tomtit
closer,doberman,basset,goldenretriever,weimaraner
further,squat,pigeon,pug,white
further,robin,brown,bullmastiff,knob
further,bullmastiff,brown,knob,robin
closer,sling,inlay,straight,waiting
further,sparrow,bluesport,chihuahua,leather
closer,crow,bluejay,cuckoo,nightingale
closer,weimaraner,basset,doberman,goldenretriever
closer,waiting,inlay,sling,straight
further,white,pigeon,pug,squat
closer,inlay,sling,straight,waiting
closer,straight,inlay,sling,waiting
further,bluesport,chihuahua,leather,sparrow
closer,goldenretriever,basset,doberman,weimaraner
further,tomtit,bloodhound,hatchback,woven
further,pigeon,pug,squat,white
closer,cuckoo,bluejay,crow,nightingale
further,chihuahua,bluesport,leather,sparrow
further,bloodhound,hatchback,tomtit,woven
further,leather,bluesport,chihuahua,sparrow
closer,basset,doberman,goldenretriever,weimaraner
further,hatchback,bloodhound,tomtit,woven
further,knob,brown,bullmastiff,robin
closer,bluejay,crow,cuckoo,nightingale
further,pug,pigeon,squat,white
closer,nightingale,bluejay,crow,cuckoo
further,woven,bloodhound,hatchback,tomtit
further,brown,bullmastiff,knob,robin
further,pigeon,bullmastiff,inlay,white
further,inlay,bullmastiff,pigeon,white
further,pug,cuckoo,redantique,sling
closer,tomtit,nightingale,robin,sparrow
further,sling,cuckoo,pug,redantique
closer,weimaraner,basset,bloodhound,chihuahua
closer,bloodhound,basset,chihuahua,weimaraner
further,woven,bluejay,bluesport,doberman
closer,nightingale,robin,sparrow,tomtit
further,redantique,cuckoo,pug,sling
further,white,bullmastiff,inlay,pigeon
further,straight,bluesedan,crow,goldenretriever
further,bluesedan,crow,goldenretriever,straight
further,bluejay,bluesport,doberman,woven
further,bullmastiff,inlay,pigeon,white
closer,sparrow,nightingale,robin,tomtit
further,doberman,bluejay,bluesport,woven
closer,robin,nightingale,sparrow,tomtit
closer,chihuahua,basset,bloodhound,weimaraner
further,crow,bluesedan,goldenretriever,straight
further,goldenretriever,bluesedan,crow,straight
further,cuckoo,pug,redantique,sling
further,bluesport,bluejay,doberman,woven
closer,basset,bloodhound,chihuahua,weimaraner
further,squat,bloodhound,crow,white
further,tomtit,basset,brown,sling
further,crow,bloodhound,squat,white
further,nightingale,goldenretriever,hatchback,inlay
closer,robin,bluejay,cuckoo,sparrow
further,straight,bluesport,pigeon,pug
further,pug,bluesport,pigeon,straight
closer,doberman,bullmastiff,chihuahua,weimaraner
further,basset,brown,sling,tomtit
closer,bullmastiff,chihuahua,doberman,weimaraner
further,white,bloodhound,crow,squat
closer,cuckoo,bluejay,robin,sparrow
further,inlay,goldenretriever,hatchback,nightingale
further,pigeon,bluesport,pug,straight
further,bluesport,pigeon,pug,straight
further,goldenretriever,hatchback,inlay,nightingale
closer,sparrow,bluejay,cuckoo,robin
further,sling,basset,brown,tomtit
further,brown,basset,sling,tomtit
further,hatchback,goldenretriever,inlay,nightingale
closer,weimaraner,bullmastiff,chihuahua,doberman
further,bloodhound,crow,squat,white
closer,bluejay,cuckoo,robin,sparrow
closer,chihuahua,bullmastiff,doberman,weimaraner
further,pug,beetle,nightingale,sling
closer,sparrow,bluejay,crow,tomtit
further,cuckoo,goldenretriever,knob,redantique
closer,basset,bullmastiff,chihuahua,doberman
further,weimaraner,pigeon,squat,white
further,beetle,nightingale,pug,sling
further,robin,bloodhound,hatchback,woven
closer,bluesport,bluesedan,brown,redsport
further,bloodhound,hatchback,robin,woven
further,goldenretriever,cuckoo,knob,redantique
closer,bullmastiff,basset,chihuahua,doberman
further,nightingale,beetle,pug,sling
further,white,pigeon,squat,weimaraner
closer,doberman,basset,bullmastiff,chihuahua
closer,tomtit,bluejay,crow,sparrow
further,squat,pigeon,weimaraner,white
further,woven,bloodhound,hatchback,robin
closer,brown,bluesedan,bluesport,redsport
further,sling,beetle,nightingale,pug
closer,chihuahua,basset,bullmastiff,doberman
closer,redsport,bluesedan,bluesport,brown
closer,bluesedan,bluesport,brown,redsport
closer,crow,bluejay,sparrow,tomtit
further,redantique,cuckoo,goldenretriever,knob
further,pigeon,squat,weimaraner,white
closer,bluejay,crow,sparrow,tomtit
further,hatchback,bloodhound,robin,woven
further,knob,cuckoo,goldenretriever,redantique
further,pigeon,beetle,goldenretriever,squat
further,redantique,chihuahua,nightingale,woven
further,squat,beetle,goldenretriever,pigeon
further,woven,chihuahua,nightingale,redantique
closer,crow,bluejay,cuckoo,robin
further,brown,bullmastiff,leather,tomtit
further,sparrow,basset,hatchback,inlay
closer,waiting,knob,sling,straight
closer,sling,knob,straight,waiting
closer,bluesedan,bluesport,redsport,white
closer,bluejay,crow,cuckoo,robin
further,inlay,basset,hatchback,sparrow
closer,white,bluesedan,bluesport,redsport
further,basset,hatchback,inlay,sparrow
further,leather,brown,bullmastiff,tomtit
further,goldenretriever,beetle,pigeon,squat
closer,straight,knob,sling,waiting
closer,bluesport,bluesedan,redsport,white
closer,cuckoo,bluejay,crow,robin
further,bullmastiff,brown,leather,tomtit
closer,redsport,bluesedan,bluesport,white
further,nightingale,chihuahua,redantique,woven
further,beetle,goldenretriever,pigeon,squat
closer,knob,sling,straight,waiting
closer,robin,bluejay,crow,cuckoo
further,tomtit,brown,bullmastiff,leather
further,hatchback,basset,inlay,sparrow
further,chihuahua,nightingale,redantique,woven
closer,bluejay,crow,robin,tomtit
closer,woven,sling,squat,straight
further,waiting,brown,pigeon,pug
closer,weimaraner,bloodhound,bullmastiff,doberman
further,chihuahua,beetle,cuckoo,leather
further,pug,brown,pigeon,waiting
closer,redsport,bluesport,redantique,white
closer,crow,bluejay,robin,tomtit
closer,white,bluesport,redantique,redsport
closer,tomtit,bluejay,crow,robin
closer,straight,sling,squat,woven
further,cuckoo,beetle,chihuahua,leather
further,knob,basset,bluesedan,sparrow
closer,sling,squat,straight,woven
further,beetle,chihuahua,cuckoo,leather
closer,squat,sling,straight,woven
closer,bullmastiff,bloodhound,doberman,weimaraner
closer,redantique,bluesport,redsport,white
further,basset,bluesedan,knob,sparrow
closer,bluesport,redantique,redsport,white
further,brown,pigeon,pug,waiting
further,leather,beetle,chihuahua,cuckoo
further,sparrow,basset,bluesedan,knob
further,bluesedan,basset,knob,sparrow
closer,doberman,bloodhound,bullmastiff,weimaraner
closer,bloodhound,bullmastiff,doberman,weimaraner
further,pigeon,brown,pug,waiting
closer,robin,bluejay,crow,tomtit
further,white,bullmastiff,inlay,tomtit
further,weimaraner,cuckoo,redantique,waiting
closer,nightingale,bluejay,robin,sparrow
further,waiting,cuckoo,redantique,weimaraner
further,redantique,cuckoo,waiting,weimaraner
closer,robin,bluejay,nightingale,sparrow
closer,sparrow,bluejay,nightingale,robin
further,tomtit,bullmastiff,inlay,white
further,cuckoo,redantique,waiting,weimaraner
further,pigeon,beetle,goldenretriever,sling
further,inlay,bullmastiff,tomtit,white
further,beetle,goldenretriever,pigeon,sling
closer,bluejay,nightingale,robin,sparrow
further,hatchback,chihuahua,crow,leather
further,crow,chihuahua,hatchback,leather
further,goldenretriever,beetle,pigeon,sling
further,sling,beetle,goldenretriever,pigeon
further,chihuahua,crow,hatchback,leather
further,leather,chihuahua,crow,hatchback
further,bullmastiff,inlay,tomtit,white
further,beetle,basset,inlay,sparrow
closer,robin,crow,nightingale,tomtit
closer,tomtit,crow,nightingale,robin
further,redantique,bluejay,goldenretriever,squat
further,sparrow,basset,beetle,inlay
further,bluesedan,bullmastiff,pigeon,sling
closer,nightingale,crow,robin,tomtit
further,inlay,basset,beetle,sparrow
further,basset,beetle,inlay,sparrow
closer,woven,knob,leather,straight
closer,leather,knob,straight,woven
closer,pug,bloodhound,chihuahua,weimaraner
closer,chihuahua,bloodhound,pug,weimaraner
closer,straight,knob,leather,woven
further,squat,bluejay,goldenretriever,redantique
further,bluesport,cuckoo,doberman,waiting
further,bullmastiff,bluesedan,pigeon,sling
further,doberman,bluesport,cuckoo,waiting
further,bluejay,goldenretriever,redantique,squat
further,goldenretriever,bluejay,redantique,squat
further,sling,bluesedan,bullmastiff,pigeon
closer,knob,leather,straight,woven
closer,weimaraner,bloodhound,chihuahua,pug
further,waiting,bluesport,cuckoo,doberman
further,cuckoo,bluesport,doberman,waiting
closer,bloodhound,chihuahua,pug,weimaraner
further,pigeon,bluesedan,bullmastiff,sling
closer,crow,nightingale,robin,tomtit
closer,redsport,bluesedan,hatchback,redantique
further,squat,goldenretriever,sparrow,white
closer,basset,bloodhound,bullmastiff,doberman
further,weimaraner,bluesport,crow,waiting
closer,straight,leather,sling,woven
further,chihuahua,brown,inlay,nightingale
further,knob,beetle,pigeon,pug
closer,bluejay,cuckoo,robin,tomtit
further,waiting,bluesport,crow,weimaraner
closer,hatchback,bluesedan,redantique,redsport
closer,woven,leather,sling,straight
further,inlay,brown,chihuahua,nightingale
closer,redantique,bluesedan,hatchback,redsport
further,crow,bluesport,waiting,weimaraner
closer,leather,sling,straight,woven
further,pigeon,beetle,knob,pug
further,bluesport,crow,waiting,weimaraner
closer,bullmastiff,basset,bloodhound,doberman
further,goldenretriever,sparrow,squat,white
closer,bluesedan,hatchback,redantique,redsport
closer,tomtit,bluejay,cuckoo,robin
closer,cuckoo,bluejay,robin,tomtit
further,beetle,knob,pigeon,pug
further,nightingale,brown,chihuahua,inlay
further,sparrow,goldenretriever,squat,white
closer,bloodhound,basset,bullmastiff,doberman
closer,doberman,basset,bloodhound,bullmastiff
further,white,goldenretriever,sparrow,squat
further,brown,chihuahua,inlay,nightingale
further,pug,beetle,knob,pigeon
closer,robin,bluejay,cuckoo,tomtit
closer,sling,leather,straight,woven
further,leather,basset,beetle,cuckoo
further,bluesedan,bullmastiff,sling,sparrow
closer,squat,knob,straight,waiting
further,beetle,basset,cuckoo,leather
further,pigeon,brown,doberman,inlay
closer,straight,knob,squat,waiting
further,basset,beetle,cuckoo,leather
closer,crow,bluejay,nightingale,tomtit
closer,waiting,knob,squat,straight
further,sparrow,bluesedan,bullmastiff,sling
further,brown,doberman,inlay,pigeon
closer,bluejay,crow,nightingale,tomtit
further,sling,bluesedan,bullmastiff,sparrow
further,inlay,brown,doberman,pigeon
further,doberman,brown,inlay,pigeon
closer,nightingale,bluejay,crow,tomtit
further,cuckoo,basset,beetle,leather
closer,knob,squat,straight,waiting
further,bullmastiff,bluesedan,sling,sparrow
closer,tomtit,bluejay,crow,nightingale
further,waiting,brown,crow,weimaraner
closer,tomtit,cuckoo,pigeon,sparrow
further,weimaraner,brown,crow,waiting
further,redantique,bluejay,chihuahua,inlay
further,robin,doberman,redsport,squat
further,bluejay,chihuahua,inlay,redantique
closer,beetle,bluesport,hatchback,white
further,inlay,bluejay,chihuahua,redantique
closer,cuckoo,pigeon,sparrow,tomtit
further,nightingale,bloodhound,bluesedan,straight
further,squat,doberman,redsport,robin
further,straight,bloodhound,bluesedan,nightingale
closer,bluesport,beetle,hatchback,white
further,doberman,redsport,robin,squat
further,bloodhound,bluesedan,nightingale,straight
further,crow,brown,waiting,weimaraner
closer,white,beetle,bluesport,hatchback
further,brown,crow,waiting,weimaraner
further,redsport,doberman,robin,squat
further,chihuahua,bluejay,inlay,redantique
further,bluesedan,bloodhound,nightingale,straight
closer,pigeon,cuckoo,sparrow,tomtit
closer,sparrow,cuckoo,pigeon,tomtit
closer,hatchback,beetle,bluesport,white
further,pigeon,doberman,redantique,straight
further,inlay,beetle,bullmastiff,robin
further,doberman,pigeon,redantique,straight
closer,bluesedan,brown,redsport,white
closer,brown,bluesedan,redsport,white
further,sparrow,hatchback,sling,weimaraner
closer,tomtit,bluejay,crow,cuckoo
further,nightingale,basset,bluesport,woven
closer,crow,bluejay,cuckoo,tomtit
further,robin,beetle,bullmastiff,inlay
further,woven,basset,bluesport,nightingale
further,weimaraner,hatchback,sling,sparrow
further,straight,doberman,pigeon,redantique
further,bluesport,basset,nightingale,woven
further,bullmastiff,beetle,inlay,robin
further,hatchback,sling,sparrow,weimaraner
further,redantique,doberman,pigeon,straight
further,basset,bluesport,nightingale,woven
closer,cuckoo,bluejay,crow,tomtit
closer,redsport,bluesedan,brown,white
further,sling,hatchback,sparrow,weimaraner
closer,white,bluesedan,brown,redsport
further,beetle,bullmastiff,inlay,robin
closer,bluejay,crow,cuckoo,tomtit
closer,goldenretriever,chihuahua,doberman,weimaraner
closer,weimaraner,chihuahua,doberman,goldenretriever
closer,redantique,bluesedan,bluesport,brown
further,bullmastiff,leather,robin,white
further,redsport,pug,sling,sparrow
further,pug,redsport,sling,sparrow
further,hatchback,bloodhound,inlay,nightingale
further,leather,bullmastiff,robin,white
further,inlay,bloodhound,hatchback,nightingale
closer,crow,cuckoo,pigeon,tomtit
further,robin,bullmastiff,leather,white
further,sparrow,pug,redsport,sling
closer,tomtit,crow,cuckoo,pigeon
closer,bluesedan,bluesport,brown,redantique
closer,pigeon,crow,cuckoo,tomtit
closer,brown,bluesedan,bluesport,redantique
closer,cuckoo,crow,pigeon,tomtit
closer,doberman,chihuahua,goldenretriever,weimaraner
closer,bluesport,bluesedan,brown,redantique
further,nightingale,bloodhound,hatchback,inlay
further,white,bullmastiff,leather,robin
further,bloodhound,hatchback,inlay,nightingale
closer,chihuahua,doberman,goldenretriever,weimaraner
further,sling,pug,redsport,sparrow
further,cuckoo,brown,straight,weimaraner
closer,tomtit,bluejay,robin,sparrow
further,redantique,pigeon,pug,woven
further,straight,brown,cuckoo,weimaraner
further,pigeon,pug,redantique,woven
closer,goldenretriever,basset,bloodhound,chihuahua
closer,hatchback,beetle,bluesedan,white
further,crow,bluesport,bullmastiff,sling
further,bluesport,bullmastiff,crow,sling
further,woven,pigeon,pug,redantique
further,weimaraner,brown,cuckoo,straight
further,sling,bluesport,bullmastiff,crow
closer,bluesedan,beetle,hatchback,white
further,waiting,doberman,nightingale,redsport
closer,bloodhound,basset,chihuahua,goldenretriever
closer,bluejay,robin,sparrow,tomtit
closer,beetle,bluesedan,hatchback,white
closer,sparrow,bluejay,robin,tomtit
closer,white,beetle,bluesedan,hatchback
closer,robin,bluejay,sparrow,tomtit
further,doberman,nightingale,redsport,waiting
closer,chihuahua,basset,bloodhound,goldenretriever
closer,basset,bloodhound,chihuahua,goldenretriever
further,redsport,doberman,nightingale,waiting
further,nightingale,doberman,redsport,waiting
further,brown,cuckoo,straight,weimaraner
further,pug,pigeon,redantique,woven
further,bullmastiff,bluesport,crow,sling
further,tomtit,basset,bluesedan,squat
closer,straight,knob,leather,waiting
further,bloodhound,bluesport,robin,woven
further,redsport,crow,sling,weimaraner
closer,beetle,brown,redantique,white
further,inlay,doberman,hatchback,nightingale
closer,redantique,beetle,brown,white
closer,goldenretriever,bullmastiff,chihuahua,pug
closer,knob,leather,straight,waiting
closer,sparrow,bluejay,cuckoo,pigeon
further,doberman,hatchback,inlay,nightingale
closer,white,beetle,brown,redantique
further,basset,bluesedan,squat,tomtit
closer,waiting,knob,leather,straight
closer,chihuahua,bullmastiff,goldenretriever,pug
closer,pigeon,bluejay,cuckoo,sparrow
further,hatchback,doberman,inlay,nightingale
further,bluesport,bloodhound,robin,woven
closer,brown,beetle,redantique,white
further,squat,basset,bluesedan,tomtit
closer,bluejay,cuckoo,pigeon,sparrow
further,sling,crow,redsport,weimaraner
further,crow,redsport,sling,weimaraner
closer,bullmastiff,chihuahua,goldenretriever,pug
further,weimaraner,crow,redsport,sling
further,robin,bloodhound,bluesport,woven
closer,pug,bullmastiff,chihuahua,goldenretriever
further,nightingale,doberman,hatchback,inlay
further,woven,bloodhound,bluesport,robin
further,bluesedan,basset,squat,tomtit
closer,cuckoo,bluejay,pigeon,sparrow
closer,leather,knob,straight,waiting
further,pug,brown,cuckoo,sling
closer,pigeon,bluejay,crow,tomtit
further,bluesport,doberman,leather,nightingale
further,weimaraner,hatchback,robin,waiting
further,brown,cuckoo,pug,sling
closer,woven,inlay,knob,straight
further,robin,hatchback,waiting,weimaraner
further,waiting,hatchback,robin,weimaraner
further,hatchback,robin,waiting,weimaraner
further,bullmastiff,redantique,sparrow,squat
closer,inlay,knob,straight,woven
further,redantique,bullmastiff,sparrow,squat
further,leather,bluesport,doberman,nightingale
closer,knob,inlay,straight,woven
closer,tomtit,bluejay,crow,pigeon
closer,crow,bluejay,pigeon,tomtit
further,doberman,bluesport,leather,nightingale
closer,straight,inlay,knob,woven
further,sling,brown,cuckoo,pug
further,cuckoo,brown,pug,sling
further,squat,bullmastiff,redantique,sparrow
further,nightingale,bluesport,doberman,leather
closer,bluejay,crow,pigeon,tomtit
further,sparrow,bullmastiff,redantique,squat
closer,waiting,inlay,knob,straight
closer,straight,inlay,knob,waiting
closer,robin,crow,cuckoo,tomtit
closer,redantique,bluesedan,bluesport,redsport
further,leather,beetle,chihuahua,sparrow
further,nightingale,doberman,squat,white
closer,cuckoo,crow,robin,tomtit
further,beetle,chihuahua,leather,sparrow
further,hatchback,bloodhound,bluejay,sling
further,squat,doberman,nightingale,white
further,pigeon,brown,weimaraner,woven
further,woven,brown,pigeon,weimaraner
further,weimaraner,brown,pigeon,woven
closer,crow,cuckoo,robin,tomtit
further,sparrow,beetle,chihuahua,leather
further,brown,pigeon,weimaraner,woven
closer,bluesport,bluesedan,redantique,redsport
further,doberman,nightingale,squat,white
further,chihuahua,beetle,leather,sparrow
closer,redsport,bluesedan,bluesport,redantique
further,bluejay,bloodhound,hatchback,sling
closer,tomtit,crow,cuckoo,robin
closer,inlay,knob,straight,waiting
further,white,doberman,nightingale,squat
further,bloodhound,bluejay,hatchback,sling
closer,bluesedan,bluesport,redantique,redsport
closer,knob,inlay,straight,waiting
further,sling,bloodhound,bluejay,hatchback
closer,bullmastiff,basset,bloodhound,weimaraner
further,chihuahua,brown,sparrow,straight
further,straight,brown,chihuahua,sparrow
further,leather,bluejay,pug,redsport
further,woven,bluesport,goldenretriever,robin
further,robin,bluesport,goldenretriever,woven
further,redsport,bluejay,leather,pug
further,inlay,beetle,cuckoo,doberman
further,brown,chihuahua,sparrow,straight
closer,waiting,knob,sling,squat
closer,bloodhound,basset,bullmastiff,weimaraner
closer,squat,knob,sling,waiting
closer,knob,sling,squat,waiting
further,doberman,beetle,cuckoo,inlay
closer,sling,knob,squat,waiting
further,bluesport,goldenretriever,robin,woven
closer,weimaraner,basset,bloodhound,bullmastiff
further,pug,bluejay,leather,redsport
further,beetle,cuckoo,doberman,inlay
further,goldenretriever,bluesport,robin,woven
closer,basset,bloodhound,bullmastiff,weimaraner
further,bluejay,leather,pug,redsport
further,sparrow,brown,chihuahua,straight
further,cuckoo,beetle,doberman,inlay
closer,bluesport,bluesedan,hatchback,white
closer,hatchback,bluesedan,bluesport,white
closer,sling,knob,leather,waiting
closer,knob,leather,sling,waiting
closer,white,bluesedan,bluesport,hatchback
further,nightingale,basset,beetle,woven
further,straight,bluejay,goldenretriever,redsport
further,crow,brown,bullmastiff,squat
closer,waiting,knob,leather,sling
closer,leather,knob,sling,waiting
further,bullmastiff,brown,crow,squat
further,brown,bullmastiff,crow,squat
further,redantique,doberman,inlay,robin
further,redsport,bluejay,goldenretriever,straight
further,squat,brown,bullmastiff,crow
further,goldenretriever,bluejay,redsport,straight
further,beetle,basset,nightingale,woven
further,woven,basset,beetle,nightingale
closer,bluesedan,bluesport,hatchback,white
further,doberman,inlay,redantique,robin
further,robin,doberman,inlay,redantique
further,basset,beetle,nightingale,woven
further,inlay,doberman,redantique,robin
further,bluejay,goldenretriever,redsport,straight
further,straight,bluejay,bullmastiff,redantique
further,bluejay,bullmastiff,redantique,straight
closer,squat,inlay,knob,sling
closer,sling,inlay,knob,squat
further,robin,beetle,bloodhound,leather
further,weimaraner,hatchback,pigeon,waiting
closer,crow,cuckoo,sparrow,tomtit
further,hatchback,pigeon,waiting,weimaraner
further,redantique,bluejay,bullmastiff,straight
closer,cuckoo,crow,sparrow,tomtit
further,leather,beetle,bloodhound,robin
further,beetle,bloodhound,leather,robin
closer,tomtit,crow,cuckoo,sparrow
closer,sparrow,crow,cuckoo,tomtit
further,bullmastiff,bluejay,redantique,straight
further,waiting,hatchback,pigeon,weimaraner
further,bloodhound,beetle,leather,robin
further,pigeon,hatchback,waiting,weimaraner
closer,inlay,knob,sling,squat
closer,knob,inlay,sling,squat
further,crow,basset,redantique,squat
closer,bullmastiff,chihuahua,goldenretriever,weimaraner
closer,redsport,beetle,bluesedan,brown
closer,goldenretriever,bullmastiff,chihuahua,weimaraner
closer,sling,inlay,waiting,woven
further,nightingale,doberman,hatchback,leather
closer,inlay,sling,waiting,woven
further,leather,doberman,hatchback,nightingale
further,white,bluejay,knob,pug
further,hatchback,doberman,leather,nightingale
further,robin,bloodhound,bluesport,straight
closer,brown,beetle,bluesedan,redsport
closer,woven,inlay,sling,waiting
further,redantique,basset,crow,squat
further,squat,basset,crow,redantique
further,pug,bluejay,knob,white
closer,chihuahua,bullmastiff,goldenretriever,weimaraner
further,bloodhound,bluesport,robin,straight
closer,waiting,inlay,sling,woven
closer,bluesedan,beetle,brown,redsport
closer,weimaraner,bullmastiff,chihuahua,goldenretriever
further,straight,bloodhound,bluesport,robin
further,knob,bluejay,pug,white
further,doberman,hatchback,leather,nightingale
further,basset,crow,redantique,squat
closer,beetle,bluesedan,brown,redsport
further,bluesport,bloodhound,robin,straight
further,bluejay,knob,pug,white
further,robin,beetle,inlay,weimaraner
closer,bloodhound,basset,bullmastiff,chihuahua
further,bluejay,bluesedan,doberman,sling
further,sling,bluejay,bluesedan,doberman
further,bluesedan,bluejay,doberman,sling
closer,basset,bloodhound,bullmastiff,chihuahua
closer,chihuahua,basset,bloodhound,bullmastiff
closer,bluesport,brown,hatchback,redsport
closer,hatchback,bluesport,brown,redsport
further,crow,knob,pug,white
further,inlay,beetle,robin,weimaraner
further,nightingale,goldenretriever,redantique,squat
further,white,crow,knob,pug
further,pug,crow,knob,white
further,doberman,bluejay,bluesedan,sling
further,weimaraner,beetle,inlay,robin
closer,bullmastiff,basset,bloodhound,chihuahua
closer,brown,bluesport,hatchback,redsport
further,redantique,goldenretriever,nightingale,squat
further,squat,goldenretriever,nightingale,redantique
closer,redsport,bluesport,brown,hatchback
further,beetle,inlay,robin,weimaraner
further,goldenretriever,nightingale,redantique,squat
further,knob,crow,pug,white
further,redsport,nightingale,sling,weimaraner
further,sling,nightingale,redsport,weimaraner
further,weimaraner,nightingale,redsport,sling
further,waiting,chihuahua,cuckoo,redantique
further,chihuahua,cuckoo,redantique,waiting
closer,pigeon,robin,sparrow,tomtit
closer,robin,pigeon,sparrow,tomtit
further,doberman,bluesport,crow,inlay
further,pug,bluejay,brown,leather
further,inlay,bluesport,crow,doberman
further,leather,bluejay,brown,pug
further,crow,bluesport,doberman,inlay
closer,sparrow,pigeon,robin,tomtit
further,nightingale,redsport,sling,weimaraner
closer,tomtit,pigeon,robin,sparrow
further,bluejay,brown,leather,pug
further,brown,bluejay,leather,pug
further,bluesport,crow,doberman,inlay
further,redantique,chihuahua,cuckoo,waiting
further,cuckoo,chihuahua,redantique,waiting
further,waiting,brown,crow,goldenretriever
further,crow,brown,goldenretriever,waiting
further,weimaraner,bluesport,robin,straight
further,chihuahua,bluesedan,pigeon,sling
further,pigeon,bluesedan,chihuahua,sling
further,sling,bluesedan,chihuahua,pigeon
closer,sparrow,bluejay,cuckoo,tomtit
further,robin,bluesport,straight,weimaraner
closer,redsport,beetle,hatchback,white
further,doberman,nightingale,redantique,woven
further,bluesedan,chihuahua,pigeon,sling
closer,beetle,hatchback,redsport,white
further,woven,doberman,nightingale,redantique
closer,cuckoo,bluejay,sparrow,tomtit
closer,hatchback,beetle,redsport,white
further,goldenretriever,brown,crow,waiting
further,brown,crow,goldenretriever,waiting
closer,tomtit,bluejay,cuckoo,sparrow
further,bluesport,robin,straight,weimaraner
closer,white,beetle,hatchback,redsport
further,redantique,doberman,nightingale,woven
closer,bluejay,cuckoo,sparrow,tomtit
further,nightingale,doberman,redantique,woven
further,straight,bluesport,robin,weimaraner
further,basset,bluesedan,robin,squat
closer,beetle,bluesport,hatchback,redsport
closer,redsport,beetle,bluesport,hatchback
further,doberman,brown,crow,waiting
further,leather,chihuahua,pigeon,white
closer,bluesport,beetle,hatchback,redsport
further,redantique,bluejay,bullmastiff,inlay
closer,pug,bloodhound,goldenretriever,weimaraner
closer,hatchback,beetle,bluesport,redsport
further,bluesedan,basset,robin,squat
further,crow,brown,doberman,waiting
further,robin,basset,bluesedan,squat
further,squat,basset,bluesedan,robin
closer,straight,knob,sling,woven
further,white,chihuahua,leather,pigeon
closer,woven,knob,sling,straight
further,bullmastiff,bluejay,inlay,redantique
closer,bloodhound,goldenretriever,pug,weimaraner
further,brown,crow,doberman,waiting
further,waiting,brown,crow,doberman
further,inlay,bluejay,bullmastiff,redantique
closer,weimaraner,bloodhound,goldenretriever,pug
further,chihuahua,leather,pigeon,white
closer,knob,sling,straight,woven
closer,sling,knob,straight,woven
further,pigeon,chihuahua,leather,white
closer,goldenretriever,bloodhound,pug,weimaraner
further,bluejay,bullmastiff,inlay,redantique
further,pigeon,bullmastiff,redsport,squat
closer,bloodhound,chihuahua,doberman,weimaraner
further,bluesport,leather,pug,tomtit
closer,beetle,bluesedan,brown,redantique
closer,doberman,bloodhound,chihuahua,weimaraner
closer,bluesedan,beetle,brown,redantique
further,woven,basset,robin,white
further,goldenretriever,cuckoo,hatchback,knob
closer,weimaraner,bloodhound,chihuahua,doberman
closer,redantique,beetle,bluesedan,brown
further,robin,basset,white,woven
further,hatchback,cuckoo,goldenretriever,knob
further,pug,bluesport,leather,tomtit
further,leather,bluesport,pug,tomtit
further,bullmastiff,pigeon,redsport,squat
further,redsport,bullmastiff,pigeon,squat
closer,brown,beetle,bluesedan,redantique
further,tomtit,bluesport,leather,pug
further,white,basset,robin,woven
further,basset,robin,white,woven
further,squat,bullmastiff,pigeon,redsport
closer,chihuahua,bloodhound,doberman,weimaraner
further,knob,cuckoo,goldenretriever,hatchback
further,cuckoo,goldenretriever,hatchback,knob
further,goldenretriever,bluesedan,leather,tomtit
closer,pigeon,bluejay,cuckoo,robin
closer,robin,bluejay,cuckoo,pigeon
further,straight,brown,pug,sparrow
further,bluesedan,goldenretriever,leather,tomtit
closer,bluejay,cuckoo,pigeon,robin
closer,white,beetle,hatchback,redantique
closer,sling,inlay,squat,woven
further,nightingale,redsport,waiting,weimaraner
further,leather,bluesedan,goldenretriever,tomtit
closer,squat,inlay,sling,woven
further,redsport,nightingale,waiting,weimaraner
further,crow,bluesport,chihuahua,knob
further,knob,bluesport,chihuahua,crow
further,brown,pug,sparrow,straight
further,weimaraner,nightingale,redsport,waiting
further,tomtit,bluesedan,goldenretriever,leather
closer,hatchback,beetle,redantique,white
further,chihuahua,bluesport,crow,knob
further,waiting,nightingale,redsport,weimaraner
closer,cuckoo,bluejay,pigeon,robin
further,sparrow,brown,pug,straight
closer,woven,inlay,sling,squat
closer,beetle,hatchback,redantique,white
closer,inlay,sling,squat,woven
further,pug,brown,sparrow,straight
closer,redantique,beetle,hatchback,white
further,bluesport,chihuahua,crow,knob
closer,white,beetle,bluesport,redsport
further,chihuahua,redantique,straight,tomtit
further,straight,chihuahua,redantique,tomtit
further,hatchback,nightingale,squat,weimaraner
further,goldenretriever,bluejay,brown,leather
further,pigeon,bluesedan,pug,woven
closer,beetle,bluesport,redsport,white
further,squat,hatchback,nightingale,weimaraner
closer,redsport,beetle,bluesport,white
further,nightingale,hatchback,squat,weimaraner
further,pug,bluesedan,pigeon,woven
further,redantique,chihuahua,straight,tomtit
further,woven,bluesedan,pigeon,pug
