gameid,roundNum,targetHex,alt1Hex,alt2Hex,clickStatus,strippedContents,cleanMsg
9114-e,4,#809966,#98A35C,#699683,target,pick green,pick green
9114-e,5,#4B30CF,#2653D9,#916E8C,distr2,bright purple,bright purple
9114-e,6,#CBC834,#F9064B,#7F7C83,target,yellow,yellow
9114-e,7,#03FC13,#76E01F,#3871C7,target,the neon green,neon green
9114-e,8,#EC3B13,#BF6F40,#16E9C3,target,red,red
9114-e,9,#E31CA1,#F40BDC,#8C737A,distr1,the darker pink,darker pink
9114-e,10,#738C7A,#799669,#72A45B,target,gray,gray
9114-e,11,#8553AC,#534EB1,#6440BF,target,light purple,light purple
9114-e,12,#9C7F63,#8A8275,#D94726,target,brown,brown
9114-e,13,#4E4FB1,#615BA4,#74798B,target,bluish purple,bluish purple
9114-e,14,#4BB457,#A3D12E,#4E39C6,target,green  not the yellow one,green yellow one
9114-e,15,#33CC7D,#22F00F,#76E21D,distr2,not any of the regular greens,regular greens
9114-e,16,#E01F38,#D22D6C,#B1A74E,target,red,red
9114-e,17,#DE219F,#BB446E,#8C629D,target,pink,pink
9114-e,18,#49B690,#9E6174,#C19C3E,target,teal,teal
9114-e,19,#4DB3A3,#877880,#DF20BC,target,teal,teal
9114-e,20,#91E817,#0EF180,#0DF24A,target,yellowish green,yellowish green
9114-e,21,#4EEB14,#9CC23D,#8D6E91,target,bright green,bright green
9114-e,22,#72B946,#F20D37,#9C7B63,target,green,green
9114-e,23,#13ECDA,#2CE01F,#0B55F4,target,not the usual blue  the other one,usual blue one
9114-e,24,#2276DD,#5BDA25,#E48A1B,target,blue,blue
9114-e,25,#636A9C,#3E47C1,#90766F,target,the purple that is closer to the brown,purple closer brown
9114-e,26,#4B7CB4,#D22D3A,#F5F50A,target,blue,blue
9114-e,27,#2A99D5,#A7AA55,#8442BD,target,blue,blue
9114-e,28,#538EAC,#80827D,#737D8C,target,blue,blue
9114-e,29,#4DB34E,#C2B53D,#8F59A6,target,green,green
9114-e,30,#4EB14F,#5BA484,#6AA857,distr2,the green that doesnt match the other green and blue,green doesnt match green blue
9114-e,31,#AAEB14,#C722DD,#5DA1A2,target,yellow,yellow
9114-e,32,#0FF05A,#40BF6F,#898A75,target,bright green,bright green
9114-e,33,#956A94,#974EB1,#9E7561,target,dim purple,dim purple
9114-e,34,#A71CE3,#7301FE,#7647B8,target,brightest purple  closer to pink,brightest purple closer pink
9114-e,35,#6252AD,#3836C9,#D09A2F,target,purple,purple
9114-e,36,#857A82,#95866A,#888A75,target,purple,purple
9114-e,37,#87748B,#956A92,#B44B8F,target,the purple that has no pink shading at all,purple pink shading
9114-e,38,#8F8470,#7C7C83,#808080,target,brownish gold,brownish gold
9114-e,39,#537BAC,#2D43D2,#13F40B,target,dim blue,dim blue
9114-e,40,#AC5A53,#328CCD,#0BF46C,target,reddish brown,reddish brown
9114-e,41,#6C6D93,#75868A,#89C837,target,purple,purple
9114-e,42,#929C63,#46B95D,#7EB14E,target,the brownish green,brownish green
9114-e,43,#8EEB14,#D0E01F,#99C43B,target,bright green,bright green
9114-e,44,#92659A,#578EA8,#41BEAF,target,purple,purple
9114-e,45,#777788,#7A8778,#3DC2AC,target,purple,purple
9114-e,46,#ABC13E,#A7E31C,#8C738B,target,the darker green,darker green
9114-e,47,#BAED12,#E21DCB,#1E0AF5,target,green,green
9114-e,48,#6BD728,#D42BC6,#6C9373,distr2,green,green
9114-e,49,#846996,#BE34CB,#22DDB1,target,purple,purple
9114-e,50,#F5ED0A,#0E43F1,#8F7270,target,yellow,yellow
5507-1,1,#8ACB34,#68A758,#47B880,target,brightest green,brightest green
5507-1,2,#CFE31C,#DBB724,#9E618A,target,greenish,greenish
5507-1,3,#DD2229,#36A7C9,#0D61F2,target,red,red
5507-1,4,#9E9F60,#67C33C,#5C4AB5,target,tan,tan
5507-1,5,#53AC72,#46B961,#3CC33C,distr1,olive,olive
5507-1,6,#7CA15E,#79C23D,#B34D97,target,olive,olive
5507-1,7,#5926D9,#13EC29,#7C8083,target,purple,purple
5507-1,8,#C52FD0,#BF40B0,#888A75,target,darkest purple,darkest purple
5507-1,9,#901DE2,#1DA7E2,#88906F,target,purple,purple
5507-1,10,#7F817E,#7D3EC1,#5BA499,target,grey,grey
5507-1,11,#89B04F,#6CA659,#26D929,distr1,dull but not dullest,dull dullest
5507-1,12,#45D22D,#8DD12E,#97A45B,target,green,green
5507-1,13,#F20DF2,#B708F7,#E21DB7,target,brightest fusia,brightest fusia
5507-1,14,#F4A60B,#CBC334,#AD6452,target,orange,orange
5507-1,15,#7D8A75,#8F7086,#94C43B,target,grey,grey
5507-1,16,#B709F6,#A85795,#DE2196,target,purple,purple
5507-1,17,#5592AA,#B55E4A,#E0B31F,target,blue,blue
5507-1,18,#67987E,#817E7F,#8803FC,target,green,green
5507-1,19,#D56E2A,#B3774D,#808679,distr1,darker orange,darker orange
5507-1,20,#7E817F,#857A81,#22DD41,target,blackest grey,blackest grey
5507-1,21,#B44B94,#7D8282,#E4AF1B,target,purple,purple
5507-1,22,#FEA501,#35DD22,#36C9B1,target,orange,orange
5507-1,23,#17E828,#1DE25F,#8AB34D,target,bright bright ,bright bright
5507-1,24,#B54A9A,#1FE052,#7303FC,target,purple fusia,purple fusia
5507-1,25,#7D8282,#F00F69,#C3703C,target,grey,grey
5507-1,26,#709F60,#A1DA25,#3776C8,target,dull green,dull green
5507-1,27,#1DE619,#9AC738,#D8FE01,target,bright bright green,bright bright green
5507-1,28,#91936C,#A529D6,#F20D33,target,grey,grey
5507-1,29,#92F10E,#3EFB04,#1BE480,target,chartreuse,chartreuse
5507-1,30,#34CBC6,#DF2076,#4929D6,target,grey blue,grey blue
5507-1,31,#0DF2AA,#FBA904,#B04F98,target,greenish,greenish
5507-1,32,#41BE5A,#2AD53B,#65F10E,target,army green,army green
5507-1,33,#DB8024,#C1683E,#19E642,target,orange,orange
5507-1,34,#7054AB,#9745BA,#FA050D,target,bluer purple,bluer purple
5507-1,35,#CC3396,#AD04FB,#F50AB2,target,red brown purple,red brown purple
5507-1,36,#73A45B,#2AD549,#26D9A6,target,army green,army green
5507-1,37,#668399,#2BA1D4,#0970F6,target,grey blue,grey blue
5507-1,38,#5B7CA4,#6A7095,#57A3A8,distr2,skyer blue,skyer blue
5507-1,39,#8450AF,#FA05AC,#299FD6,target,purple,purple
5507-1,40,#7C8283,#A35C87,#C837B7,target,grey,grey
5507-1,41,#0D6CF2,#5C62A3,#537EAC,target,bright blue,bright blue
5507-1,42,#9C3DC2,#623CC3,#916E6E,target,purple red,purple red
5507-1,43,#7E738C,#AB549B,#956A7D,target,grey silver,grey silver
5507-1,44,#BE6F41,#808080,#C33C89,target,orange,orange
5507-1,45,#84758A,#677D98,#EDF50A,target,grey silver,grey silver
5507-1,46,#5BA480,#3EC1A9,#47B8B0,target,greener,greener
5507-1,47,#E3D61C,#26D938,#B54A9C,target,yellower,yellower
5507-1,48,#57A88A,#3BC4BD,#AD5652,target,army green,army green
5507-1,49,#578DA8,#6F9090,#8F7082,target,blue,blue
5507-1,50,#C63971,#718E8D,#C3573C,distr2,red,red
1632-b,1,#629D9C,#5497AB,#79867C,distr1,blue square is the target,blue square target
1632-b,2,#967969,#7D7C83,#916E88,distr2,the lighest purple is the target,lighest purple target
1632-b,3,#4DB357,#639C77,#ED3312,target,light green is the target,light green target
1632-b,4,#479CB8,#7A8581,#669699,target,sky blue is the target,sky blue target
1632-b,5,#37C86F,#BE417B,#6E9181,target,green is the one,green one
1632-b,6,#19E62B,#AD52A0,#0FD2F0,target,bright green is the one,bright green one
1632-b,7,#746E91,#B44B73,#679894,distr1,purple is the target,purple target
1632-b,7,#746E91,#B44B73,#679894,distr1,light,light
1632-b,8,#42BD8E,#7830CF,#5E82A1,target,green is the one,green one
1632-b,9,#01B6FE,#0D8BF2,#7A7C85,target,sky blue,sky blue
1632-b,9,#01B6FE,#0D8BF2,#7A7C85,target,more greenish,greenish
1632-b,10,#609F6C,#859867,#97A35C,target,kind of like leaf green,kind like leaf green
1632-b,11,#C98C36,#F78B08,#B8477E,target,dull orange,dull orange
1632-b,12,#8A7576,#144AEB,#09DAF6,target,purple,purple
1632-b,13,#77887C,#1D41E2,#75748B,target,gray,gray
1632-b,14,#578CA8,#817E7F,#26D9D6,target,dark blue,dark blue
1632-b,15,#19E6D1,#ADBE41,#5B12ED,target,light blue,light blue
1632-b,16,#81AB54,#8CCB34,#C0D42B,target,dark green,dark green
1632-b,17,#81807E,#01FE6A,#0341FC,target,purple,purple
1632-b,18,#708F89,#4DB3AF,#266BD9,distr1,grayish blue,grayish blue
1632-b,19,#748B84,#598CA6,#30CF8A,target,gray,gray
1632-b,20,#3B6DC4,#114FEE,#4154BE,target,lightest blue,lightest blue
1632-b,21,#B14EAB,#96A35C,#877D78,target,pink,pink
1632-b,22,#8E7E71,#877B78,#80817E,distr2,lightest out of the colors,lightest colors
1632-b,23,#C5D629,#92C639,#AA9D55,target,bright yellow,bright yellow
1632-b,24,#4947B8,#75639C,#3759C8,distr2,medium blue,medium blue
1632-b,25,#A550AF,#AA557A,#877D78,distr1,pinkish purple,pinkish purple
1632-b,26,#0DF237,#D42BA1,#0429FB,target,green,green
1632-b,27,#748B84,#4EB151,#7454AB,target,gray,gray
1632-b,28,#DB5B24,#BA7245,#793BC4,target,bright orange,bright orange
1632-b,29,#5866A7,#80738C,#F69F09,target,blue,blue
1632-b,30,#B847B4,#A15CA3,#DD22C1,distr1,medium pink,medium pink
1632-b,31,#ACA553,#A9C43B,#4462BB,distr1,dull yellow,dull yellow
1632-b,32,#14EBDC,#57A894,#775CA3,distr2,bright blue,bright blue
1632-b,33,#8B7488,#BA458F,#92639C,distr1,lightest color,lightest color
1632-b,34,#82708F,#80827D,#ED12BA,distr1,violet,violet
1632-b,35,#916699,#7B748B,#99667A,target,bright violet,bright violet
1632-b,36,#E619E2,#2427DB,#956A7F,target,bright pink,bright pink
1632-b,38,#B94698,#F609C3,#C13EBE,target,medium purple,medium purple
1632-b,39,#EB148A,#368CC9,#A7AD52,target,bright pink,bright pink
1632-b,40,#37DE21,#2FD06F,#2968D6,target,bright green,bright green
1632-b,41,#39C1C6,#13ECE1,#A78E58,distr1,light blue,light blue
1632-b,42,#A35C8F,#E31CC8,#F98806,distr1,light pink,light pink
1632-b,43,#83837C,#857D7A,#708F8B,distr2,medium gray,medium gray
1632-b,44,#8B7483,#37C3C8,#D60AF5,target,dullest color,dullest color
1632-b,45,#E90AF5,#DD2235,#8E7A71,target,bright pink,bright pink
1632-b,46,#9211EE,#9F54AB,#70619E,target,bright purple,bright purple
1632-b,47,#D06D2F,#F99406,#24F20D,target,dull orange,dull orange
1632-b,48,#4539C6,#401BE4,#7C4FB0,target,medium blue,medium blue
1632-b,49,#DB6124,#699680,#A4F906,target,orange,orange
1632-b,50,#9A30CF,#FA05B9,#44BD42,target,purple,purple
3412-4,1,#778688,#808080,#748B7F,target,color of the sky,color sky
3412-4,2,#2A35D5,#4A6AB5,#669991,target,bright color of the sky,bright color sky
3412-4,3,#7C8877,#BF4062,#697996,distr2,color of the sky on a dreary day,color sky dreary day
3412-4,4,#20DF46,#1713EC,#11EED8,target,color of the grass,color grass
3412-4,5,#EC13C4,#36C978,#88758A,target,miss piggy,miss piggy
3412-4,6,#0F56F0,#884FB0,#1004FB,target,thanks  trying ,thanks trying
3412-4,6,#0F56F0,#884FB0,#1004FB,target,lighter color of the sky,lighter color sky
3412-4,7,#AB5492,#CE19E6,#867D79,target,paler miss piggy,paler miss piggy
3412-4,7,#AB5492,#CE19E6,#867D79,target,pastel,pastel
3412-4,8,#788A75,#798286,#CF4630,target,pastel grass,pastel grass
3412-4,9,#13ECCF,#8C9669,#E06C1F,target,bright like jewel tone,bright like jewel tone
3412-4,9,#13ECCF,#8C9669,#E06C1F,target,made,made
3412-4,9,#13ECCF,#8C9669,#E06C1F,target,maybe,maybe
3412-4,9,#13ECCF,#8C9669,#E06C1F,target,like the sky,like sky
3412-4,9,#13ECCF,#8C9669,#E06C1F,target,not fruit,fruit
3412-4,10,#7E47B8,#4A81B5,#E89817,target,grapes,grapes
3412-4,11,#82817D,#5996A6,#73868C,target,black and white together,black white together
3412-4,12,#788687,#6B7994,#6A7295,target,repeat,repeat
3412-4,13,#42BDBB,#54AB7B,#D12E59,target,color of the sky,color sky
3412-4,14,#8A6A95,#574DB3,#595BA6,target,pastel,pastel
3412-4,15,#5CE916,#19E679,#64AB54,target,brightess,brightess
3412-4,15,#5CE916,#19E679,#64AB54,target,brightest,brightest
3412-4,16,#8E906F,#817E7E,#778E71,target,closest to mud,closest mud
3412-4,17,#A3CC33,#4DB350,#86C23D,target,pea soup,pea soup
3412-4,17,#A3CC33,#4DB350,#86C23D,target,closer to the sun,closer sun
3412-4,17,#A3CC33,#4DB350,#86C23D,target,brighter,brighter
3412-4,18,#B649A4,#9805FA,#E714EB,target,muted,muted
3412-4,19,#A78558,#CD6332,#998266,distr2,darker sandy,darker sandy
3412-4,20,#71659A,#BC3CC3,#4BC13E,target,sky,sky
3412-4,21,#606B9F,#F90698,#BD7942,target,sky again,sky
3412-4,22,#79946B,#9AAA55,#869A65,target,muter closer to the sky,muter closer sky
3412-4,22,#79946B,#9AAA55,#869A65,target,muted,muted
3412-4,22,#79946B,#9AAA55,#869A65,target,paler like sky,paler like sky
3412-4,23,#B649B3,#6953AC,#5E8FA1,target,miss piggy,miss piggy
3412-4,23,#B649B3,#6953AC,#5E8FA1,target,we are great at this,great
3412-4,24,#AD529B,#AF2BD4,#41BE60,target,pale miss piggy,pale miss piggy
3412-4,25,#0557FA,#6F907D,#0EE2F1,target,ocean darker,ocean darker
3412-4,26,#B3C33C,#9E9561,#EB1478,target,sun,sun
3412-4,27,#40BF57,#798685,#BB9B44,target,grass,grass
3412-4,28,#4AB55A,#C9C236,#1B40E4,target,grass,grass
3412-4,29,#AC5394,#EA09F6,#A89057,target,muted,muted
3412-4,29,#AC5394,#EA09F6,#A89057,target,piggy,piggy
3412-4,30,#18E734,#83807C,#6329D6,target,grass,grass
3412-4,31,#C7AF38,#E2DB1D,#9C6399,target,muted sun,muted sun
3412-4,32,#77887C,#94B847,#B04EB1,target,dreary day,dreary day
3412-4,33,#9F32CD,#EB1471,#B0AE4F,target,grapes,grapes
3412-4,34,#81807E,#C639AC,#1D6FE2,target,dreary day,dreary day
3412-4,35,#16D4E9,#3DB5C2,#D92691,target,brighter sky,brighter sky
3412-4,36,#46B99A,#37C86C,#292CD6,target,combination sky and grass,combination sky grass
3412-4,37,#CC3347,#FB0C04,#CB5534,target,closer to piggy,closer piggy
3412-4,37,#CC3347,#FB0C04,#CB5534,target,not fruit or apple,fruit apple
3412-4,38,#C33C96,#7A5DA2,#37C8C6,target,miss piggy,miss piggy
3412-4,39,#29D657,#2A6CD5,#B86B47,target,grass,grass
3412-4,40,#7B01FE,#3947C6,#ACBF40,target,grapes,grapes
3412-4,41,#986867,#F00F1E,#2540DA,target,pale,pale
3412-4,41,#986867,#F00F1E,#2540DA,target,pale grapes,pale grapes
3412-4,41,#986867,#F00F1E,#2540DA,target, ,
3412-4,42,#6B7A94,#3092CF,#3999C6,target, darkest sky most different,darkest sky different
3412-4,43,#997A66,#956C6A,#808080,target,mud,mud
3412-4,44,#C46B3B,#E85D17,#AD6552,distr2,middle tone,middle tone
3412-4,44,#C46B3B,#E85D17,#AD6552,distr2,not bright,bright
3412-4,44,#C46B3B,#E85D17,#AD6552,distr2,not mud,mud
3412-4,45,#8CA15E,#B69D49,#CFB730,target,grass not bright not neutral ,grass bright neutral
3412-4,46,#5488AB,#21E21D,#8A9F60,target,sky,sky
3412-4,47,#CF3E30,#AB546E,#808080,target,tomato,tomato
3412-4,48,#986F67,#8B7D74,#75788A,target,closest to grapes,closest grapes
3412-4,48,#986F67,#8B7D74,#75788A,target,not sidewalk not sky,sidewalk sky
3412-4,49,#75768A,#7C58A7,#C73D38,target,sky not grapes,sky grapes
3412-4,50,#5D6FA2,#797E86,#59B649,target,brightest sky,brightest sky
7883-3,1,#8A7A75,#7E7D82,#FB04FB,target,mauve,mauve
7883-3,1,#8A7A75,#7E7D82,#FB04FB,target,not gray  not pink,gray pink
7883-3,2,#5BA48E,#3EA4C1,#A744BB,target,green,green
7883-3,3,#AB549B,#8A7586,#2A2AD5,target,pink,pink
7883-3,4,#4ABB44,#C43B5F,#3E34CB,target,green,green
7883-3,5,#7F827D,#6E917C,#D52A69,distr1,mauve,mauve
7883-3,6,#E6A219,#E0931F,#7C758A,target,yellow,yellow
7883-3,7,#49B6A8,#22DD89,#ECAE13,target,blue,blue
7883-3,8,#8C8C73,#5DA288,#DA2579,target,pinkish gray,pinkish gray
7883-3,9,#69966E,#84956A,#639C8E,target,green,green
7883-3,10,#0442FB,#7854AB,#A424DB,target,blue,blue
7883-3,11,#8C25DA,#3F14EB,#5F3BC4,target,purple,purple
7883-3,12,#AF50A5,#70F40B,#A76558,target,purple,purple
7883-3,13,#A15E7A,#6C5CA3,#7E7887,target,pink,pink
7883-3,14,#E41B90,#89619E,#946B88,target,pink,pink
7883-3,15,#6B9490,#6F9081,#628A9D,distr1,greenish bluish,greenish bluish
7883-3,16,#8759A6,#A45BA2,#7A7887,target,purple,purple
7883-3,17,#F2330D,#FB5A04,#2AD56E,target,red,red
7883-3,18,#57A85F,#80B649,#19E680,target,grayest,grayest
7883-3,18,#57A85F,#80B649,#19E680,target,the darkest one,darkest one
7883-3,19,#6DC43B,#AB8D54,#4989B6,target,green,green
7883-3,20,#82807D,#778188,#8E8C71,target,purple,purple
7883-3,21,#8F7075,#D1822E,#5824DB,distr2,purple,purple
7883-3,22,#712AD5,#7257A8,#6D639C,target,darkest,darkest
7883-3,23,#9055AA,#D821DE,#AE4AB5,target,grayest,grayest
7883-3,24,#2614EB,#4E51B1,#9D6F62,target,blue bright,blue bright
7883-3,25,#D42B90,#468FB9,#0623F9,target,pink,pink
7883-3,26,#79867C,#C1803E,#7A46B9,target,gray,gray
7883-3,27,#1DE2D5,#8DD22D,#5234CB,target,blue green,blue green
7883-3,28,#55AA9C,#639A9C,#F3FB04,target,blue,blue
7883-3,29,#174BE8,#5E6CA1,#8F52AD,target,bright blue,bright blue
7883-3,30,#D7288B,#58A79B,#5217E8,target,pink,pink
7883-3,31,#C98236,#B84785,#7808F7,target,orange,orange
7883-3,32,#DE3D21,#D22DB4,#22DDA5,distr2,red,red
7883-3,33,#17E81A,#2AD53B,#76C837,target,bright green,bright green
7883-3,34,#D6298E,#FA058C,#9E6195,target,medium pink,medium pink
7883-3,35,#6E916E,#7F817E,#F40B97,target,greenish gray,greenish gray
7883-3,36,#AB3EC1,#8255AA,#3771C8,distr1,pinkish purple,pinkish purple
7883-3,37,#988067,#AC7E53,#F20DD7,target,gray brown,gray brown
7883-3,38,#18E748,#971CE3,#FEF501,target,green,green
7883-3,39,#D2CA2D,#F4D10B,#1DC7E2,target,dull yellow,dull yellow
7883-3,40,#FA05EA,#AF12ED,#BD42B7,target,bright pink,bright pink
7883-3,41,#9DEE11,#3EC1A0,#1D89E2,target,yellow,yellow
7883-3,42,#BBAD44,#95786A,#30CF8F,distr1,brown,brown
7883-3,43,#09F6B3,#0328FC,#7E817F,target,green blue,green blue
7883-3,44,#F0F00F,#4C42BD,#A2695D,target,yellow,yellow
7883-3,45,#99A857,#AAC639,#D2C22D,target,gray,gray
7883-3,46,#747E8B,#754DB3,#676998,target,grayest,grayest
7883-3,47,#A6599C,#F50AD2,#80827D,target,dull purple,dull purple
7883-3,48,#A547B8,#A65988,#DF4620,target,bluish purple,bluish purple
7883-3,49,#554DB3,#7ACB34,#DD13EC,target,blue,blue
7883-3,50,#6C4FB0,#483DC2,#C23D5C,distr1,bluish purple,bluish purple
1325-8,1,#11EEA1,#629D6E,#635EA1,distr1,Hello,hello
1325-8,1,#11EEA1,#629D6E,#635EA1,distr1,The color on the far left,color far left
1325-8,1,#11EEA1,#629D6E,#635EA1,distr1,its like a light green color ,like light green color
1325-8,2,#5396AC,#7E827D,#9EAB54,target,The color that looks like baby blue,color looks like baby blue
1325-8,3,#86639C,#6F7290,#5068AF,target,The color that looks purple,color looks purple
1325-8,4,#399CC6,#608D9F,#667B99,distr1,The color that looks the lightest of blue,color looks lightest blue
1325-8,5,#124CED,#4B5EB4,#B8474F,target,The darkest blue ,darkest blue
1325-8,6,#42ACBD,#FE0138,#808080,target,The lightest blue,lightest blue
1325-8,7,#F40BB2,#2AD571,#7D7E82,target,The darkest pink,darkest pink
1325-8,8,#7C8381,#6E7B91,#A758A6,target,Closest looking to light gray,closest looking light gray
1325-8,9,#EB1478,#33CC75,#8D946B,target,Darkest pink,darkest pink
1325-8,10,#A35C9B,#886C93,#868379,distr1,Darkest purple,darkest purple
1325-8,11,#82956A,#B5A34A,#2DD25C,target,Closest to gray,closest gray
1325-8,12,#6044BB,#EE1118,#639C76,target,A dark purple color,dark purple color
1325-8,13,#85847A,#08F797,#D9B526,target,Cloest to gray,cloest gray
1325-8,14,#5EA15E,#3E5BC1,#AC53A6,target,Closest to green,closest green
1325-8,15,#C99B36,#817E7E,#79A15E,target,Closest to orange,closest orange
1325-8,16,#A0FA05,#28D72A,#A159A6,target,Closest to lime yellow,closest lime yellow
1325-8,17,#7C837D,#808080,#CC334D,target,Lighest gray,lighest gray
1325-8,18,#9D626D,#846A95,#F906E8,target,Cloest to tan brown,cloest tan brown
1325-8,19,#6EAB54,#9A657F,#6E7A91,target,Cloests color to green,cloests color green
1325-8,20,#808080,#748B85,#C936C2,target,Cloest to gray,cloest gray
1325-8,21,#B68549,#C13EBE,#9C636F,target,Closest to tan brown,closest tan brown
1325-8,22,#45BA85,#2ED133,#D92662,target,Closest to turqouise,closest turqouise
1325-8,23,#979A65,#85837A,#E01FA6,target,Closest color to a green tone,closest color green tone
1325-8,24,#65A25D,#2AD552,#C43B48,target,Darkest tone of green,darkest tone green
1325-8,25,#45BA8F,#45BAA5,#2ACFD5,target,The darkest shade of green tone,darkest shade green tone
1325-8,26,#4FB073,#86B14E,#9FBF40,target,Closest to turqouise green,closest turqouise green
1325-8,27,#6C6996,#5084AF,#5D5FA2,target,lightest tone of purple,lightest tone purple
1325-8,28,#8A8975,#808080,#8C7973,target,Closest to a light brown,closest light brown
1325-8,29,#778088,#62769D,#857A81,target,closest color to gray,closest color gray
1325-8,30,#A0B54A,#C2B23D,#AF5062,target,closest to light green,closest light green
1325-8,31,#930AF5,#EE11EB,#B14DB3,distr2,Darkest purple,darkest purple
1325-8,32,#738C8A,#12ED1D,#394AC6,distr2,Closest to a light blue,closest light blue
1325-8,33,#9EE718,#46B965,#69C33C,target,Closest to a bright yellow,closest bright yellow
1325-8,34,#12ED71,#8BF40B,#0BF4A2,distr2,my timer is about to end  Sorry,timer end sorry
1325-8,35,#5D4BB4,#CB9B34,#638D9C,target,one sec,one sec
1325-8,36,#659A66,#61C13E,#A005FA,target,I need to send a quick ticket,need send quick ticket
1325-8,36,#659A66,#61C13E,#A005FA,target,closest to dark greeb,closest dark greeb
1325-8,37,#A67759,#9D6862,#946B76,distr2,closest to tan brown,closest tan brown
1325-8,38,#C80DF2,#BA4581,#255EDA,target,closes to bright pink,closes bright pink
1325-8,39,#AD5284,#8758A7,#9530CF,distr1,closest to pink,closest pink
1325-8,40,#9E5DA2,#A4675B,#B5A94A,target,closest to purple,closest purple
1325-8,41,#B14E90,#7D6C93,#AB546B,target,closest to pink,closest pink
1325-8,42,#50D926,#B1924E,#6A9570,target,closest to bright green,closest bright green
1325-8,43,#3418E7,#283CD7,#6D47B8,distr1,closest to light blue,closest light blue
1325-8,44,#3342CC,#5839C6,#6F5DA2,target,closest to blue,closest blue
1325-8,45,#6F8590,#89916E,#2213EC,target,closest to gray,closest gray
1325-8,46,#F70810,#7F19E6,#32CD94,target,closest to red,closest red
1325-8,47,#BD7D42,#D5802A,#F0530F,target,closest to brown,closest brown
1325-8,48,#26D965,#79E817,#58DA25,target,closest to green,closest green
1325-8,49,#9D609F,#B913EC,#38FE01,target,closest to light purple,closest light purple
1325-8,50,#8A7586,#807E81,#48CF30,target,closest to light purple,closest light purple
3784-6,1,#57A8A7,#3E91C1,#6FD02F,target,teal,teal
3784-6,2,#8F7075,#B4BA45,#2229DD,target,brownish,brownish
3784-6,3,#A15E9A,#F609AF,#9346B9,target,dull pink,dull pink
3784-6,4,#DA2561,#F00F3C,#088FF7,target,pink,pink
3784-6,5,#F003FC,#16E9CD,#F9D406,target,pink,pink
3784-6,6,#47B874,#717A8E,#CF7D30,target,teal,teal
3784-6,7,#D95026,#1F6FE0,#36BBC9,target,orange,orange
3784-6,8,#AB5457,#CB347D,#86E31C,target,redish brown,redish brown
3784-6,9,#8CCB34,#56D728,#A4AD52,target,not the brightest and not the darkest green,brightest darkest green
3784-6,10,#8F8170,#738C79,#B3DF20,target,brown,brown
3784-6,11,#AF5073,#C63995,#59F40B,target,duller pink,duller pink
3784-6,12,#C2B73D,#A1B04F,#8A8575,target,yellow,yellow
3784-6,13,#BA1FE0,#7408F7,#6F2ED1,target,pink,pink
3784-6,14,#01F5FE,#57A8A8,#0FCAF0,target,middle of teal,middle teal
3784-6,15,#73848C,#699669,#A3835C,target,grey,grey
3784-6,16,#7A8582,#699683,#7D38C7,target,grey,grey
3784-6,17,#8B8174,#53AC97,#7C6996,target,brown,brown
3784-6,18,#723CC3,#2B12ED,#8749B6,target,purple,purple
3784-6,19,#717F8E,#8955AA,#60DE21,target,grey,grey
3784-6,20,#2EC9D1,#AA5E55,#9F4EB1,target,blue,blue
3784-6,21,#BA01FE,#E01FDD,#B04BB4,target,purple,purple
3784-6,22,#794EB1,#659A79,#EC1375,target,purple,purple
3784-6,23,#6858A7,#5D0EF1,#9B18E7,target,kinda grey one,kinda grey one
3784-6,24,#BFE41B,#1F1FE0,#78748B,target,yellow,yellow
3784-6,25,#3895C7,#2E7AD1,#BB44A5,target,teal,teal
3784-6,26,#A550AF,#76738C,#8157A8,target,pink,pink
3784-6,27,#2D7DD2,#0E92F1,#AD4BB4,target,dark blue,dark blue
3784-6,28,#61649E,#777D88,#8C6798,target,purple ,purple
3784-6,29,#78718E,#867982,#8E718D,target,darker purple ,darker purple
3784-6,30,#808F70,#4DB394,#66998A,target,brownish,brownish
3784-6,31,#B24BB4,#78C837,#DF2060,target,purple ,purple
3784-6,32,#60C837,#33CC61,#34AFCB,target,bright green,bright green
3784-6,33,#8F7071,#BF404A,#BA455C,target,brownish,brownish
3784-6,34,#774EB1,#984AB5,#5C8FA3,target,dark purple ,dark purple
3784-6,35,#5EA161,#7D906F,#87A35C,target,brightest green,brightest green
3784-6,36,#935CA3,#AD1DE2,#D22D90,target,dull purple,dull purple
3784-6,37,#906F82,#816C93,#49B6AD,target,brownish,brownish
3784-6,38,#ECC113,#0BC1F4,#AB54A4,target,yellow,yellow
3784-6,39,#5BC837,#6A9E61,#B0764F,target,bright green,bright green
3784-6,40,#3EC639,#7D30CF,#F50AE5,target,green,green
3784-6,41,#32CBCD,#3E97C1,#6017E8,target,teal,teal
3784-6,42,#A0CB34,#4DCF30,#6FFE01,target,yellowish green,yellowish green
3784-6,43,#7054AB,#6F03FC,#843BC4,target,duller purple ,duller purple
3784-6,44,#5C8AA3,#6B7794,#C6399E,target,teal,teal
3784-6,45,#A4975B,#82A857,#24ADDB,target,brown,brown
3784-6,46,#164EE9,#D22D5C,#6F9E61,target,blue,blue
3784-6,47,#E0B31F,#81827D,#01FE05,target,yellow ,yellow
3784-6,48,#AEC936,#C40DF2,#5D62A2,target,green,green
3784-6,49,#7C4EB1,#1767E8,#5620DF,target,purple,purple
3784-6,50,#6A629D,#857A81,#C8376C,target,purple,purple
